,verified_income,debt_to_income,inquiries_last_12m,accounts_opened_24m,num_active_debit_accounts,total_debit_limit,num_mort_accounts,account_never_delinq_percent,loan_amount,term,issue_month,loan_status,initial_listing_status,disbursement_method,paid_interest,interest_rate
0,2,18.01,6.0,5.0,2.0,11100.0,1.0,92.9,28000.0,60,2,1,1,0,1015.19,14.07
1,0,5.04,1.0,10.0,3.0,16500.0,0.0,100.0,5000.0,36,0,1,1,0,150.49,12.61
2,1,21.15,4.0,10.0,3.0,4300.0,0.0,93.5,3200.0,36,0,1,0,0,106.43,17.09
3,0,10.16,0.0,1.0,2.0,19400.0,0.0,100.0,21600.0,36,1,1,1,0,566.15,6.72
4,2,37.2325,7.0,6.0,8.0,32700.0,0.0,100.0,23000.0,36,2,1,1,0,754.8,14.07
5,0,6.46,6.0,2.0,1.0,27200.0,3.0,78.1,5000.0,36,1,1,1,0,129.84,6.72
6,1,23.66,1.0,1.0,3.0,9100.0,2.0,100.0,24000.0,60,1,1,1,0,1290.51,13.59
7,1,16.19,1.0,4.0,5.0,22250.0,5.0,93.0,20000.0,60,1,1,1,0,771.23,11.99
8,1,36.48,3.0,10.0,8.0,36700.0,2.0,97.1,20000.0,36,0,1,1,0,859.88,13.59
9,0,18.91,0.0,5.0,3.0,14700.0,0.0,100.0,6400.0,36,2,1,0,0,72.25,6.71
10,2,10.45,4.0,6.0,2.0,5000.0,2.0,94.1,25000.0,60,2,1,1,0,908.46,15.04
11,1,3.76,4.0,7.0,2.0,9000.0,3.0,92.0,36000.0,60,2,1,1,0,935.04,9.92
12,1,12.06,7.0,10.0,3.0,12100.0,3.0,84.4,16000.0,36,0,1,1,0,730.18,13.59
13,1,3.76,6.0,7.0,4.0,70800.0,3.0,98.4,17000.0,60,0,1,1,1,386.6,9.43
14,2,33.98,0.0,4.0,2.0,3600.0,1.0,90.9,3200.0,36,1,1,1,0,198.57,19.03
15,0,37.2325,0.0,1.0,3.0,39700.0,2.0,100.0,20000.0,60,0,1,1,0,1196.38,19.03
16,0,31.22,4.0,8.0,2.0,15800.0,2.0,95.2,12000.0,60,1,1,1,0,906.6,19.03
17,1,20.33,6.0,3.0,1.0,2500.0,0.0,91.7,30000.0,60,1,1,1,0,1644.42,21.45
18,2,9.53,2.0,6.0,2.0,17500.0,5.0,100.0,5000.0,36,0,2,0,0,202.64,21.45
19,1,18.44,1.0,1.0,3.0,8300.0,2.0,75.0,20000.0,60,1,2,1,0,653.72,15.05
20,0,15.6,0.0,4.0,2.0,18800.0,1.0,100.0,7000.0,36,1,1,0,0,165.92,6.08
21,1,32.0,4.0,5.0,3.0,10100.0,1.0,100.0,10000.0,36,2,1,1,0,285.86,11.98
22,0,26.53,1.0,10.0,3.0,26200.0,5.0,100.0,21050.0,60,0,1,1,0,904.87,13.59
23,2,7.27,1.0,0.0,1.0,7500.0,1.0,90.0,3500.0,36,2,1,1,0,72.25,6.71
24,0,17.31,1.0,3.0,2.0,11500.0,2.0,88.0,8000.0,36,2,1,0,0,148.18,7.96
25,1,14.42,0.0,3.0,7.0,22100.0,1.0,100.0,18000.0,60,0,1,1,0,547.98,12.61
26,1,13.68,7.0,10.0,3.0,17700.0,0.0,100.0,10000.0,36,2,1,1,0,183.07,11.98
27,0,19.38,0.0,2.0,3.0,17600.0,0.0,100.0,3200.0,36,0,1,1,0,72.25,7.34
28,0,11.0,0.0,5.0,2.0,36400.0,1.0,92.3,10000.0,36,1,1,1,0,202.84,6.07
29,1,3.76,2.0,3.0,1.0,25000.0,2.0,100.0,6000.0,36,2,1,1,0,84.68,6.07
30,2,26.25,2.0,4.0,8.0,62120.0,4.0,100.0,12000.0,36,0,1,1,0,478.86,12.62
31,1,24.9,1.0,4.0,2.0,74100.0,1.0,100.0,36000.0,60,0,1,1,0,1212.81,9.44
32,2,36.75,0.0,3.0,8.0,71100.0,2.0,90.3,19000.0,60,0,1,1,0,1136.56,19.03
33,1,28.3,0.0,4.0,3.0,23800.0,4.0,96.3,28000.0,60,2,1,1,0,1349.91,20.39
34,0,13.82,2.0,5.0,1.0,58100.0,2.0,100.0,15000.0,60,1,2,1,0,72.25,9.93
35,1,3.76,0.0,0.0,1.0,2500.0,0.0,92.3,3200.0,36,1,2,1,0,72.25,6.08
36,1,10.59,1.0,0.0,4.0,11300.0,0.0,100.0,10000.0,36,1,1,0,0,833.47,21.45
37,2,17.06,2.0,4.0,3.0,12900.0,2.0,95.2,24000.0,60,2,3,1,0,558.1,15.04
